content,label
(1960-05-04)I had another neat dream about Blake.,neutral
"(1963-??-??)I had a Salvador Dali dream where I am in the VW bus with my parents and fire balls fall from the sky and land all around us like bombs. Things are melted on the desert landscape. It's out of proportion, with perspective lines off to a distant point.",neutral
"(1964-??-??)A red faced devil comes to me and is trying to hurt me very badly. I beg him to stop but he persists. I agonized with the pain and agonized that I don't want to hurt him, but I must. I force his head into an oven where the devil face gets redder and more inflamed with pain and heat. He screams with agony. I feel sick to my stomach with the horror of it all.",nightmare
(1969-??-??)I woke from a nap unable to remember who I am or anything about anything. It was a very intense and frightening moment (in duplex in C City).,neutral
(1974-01-17)Dreamt of IVs. Lots of waterfalls.,neutral
"(1974-04-26)I dreamed a lot last night, almost nightmares trying to get away from Howard.",neutral
"(1976-09-10)A nightmare about Howard. He's in bed with me and drooling at the mouth, etc.",neutral
"(1977-11-16)Lots of dreams this past month. Kittens, casts on legs, and anger at Patsy.",neutral
"(1977-??-??)Again, I am in a richly decorated room, a large bed. I am eating very sweet rolls, butterscotch on sweet rolls. I am suspicious of it. A man has been ""sent"" by another man to make love to me. I am vaguely aware of all this and I'm suspicious. A thought occurs that, ""Now it is OK. The sweets are fresh and not poisoned or drugged."" The man leaves and the ""original"" man comes to me. A feeling of being pursued, not frightening. [BL]",happy
[BL],neutral
"(1978-04-10)I had the craziest dream! I was piloting a very colorful space craft, purples and reds. My controls were an organ keyboard. I played some pretty good music. Dynamite colors and sounds. Vibrant.",neutral
"(1978-04-11)I had another strange dream, about kittens. The 3rd one. This one, I gave birth to 1 dozen kittens for their mother. I called her over. She moved them to a drawer nest, one bright orange one, one yellow one. I said they would be mine. The rest would be given away. They were cute, fuzzy, and playful. There was a puppy in this dream too. Strange. What does this symbolize to me? [BL]",neutral
[BL],neutral
